Intent,Count,Percentage,Cumulative Percentage
playwith,141,19.747899159663866,19.747899159663866
get,126,17.647058823529413,37.39495798319328
na,122,17.086834733893557,54.48179271708683
open,70,9.803921568627452,64.28571428571428
respondto,64,8.96358543417367,73.24929971988794
find,38,5.322128851540616,78.57142857142856
help,37,5.182072829131653,83.75350140056021
requesthelp,36,5.042016806722689,88.7955182072829
putonto,23,3.221288515406162,92.01680672268905
give,23,3.221288515406162,95.23809523809521
putinto,11,1.5406162464985995,96.77871148459381
observe,11,1.5406162464985995,98.31932773109241
inform,5,0.700280112044818,99.01960784313724
greet,5,0.700280112044818,99.71988795518206
harm,2,0.2801120448179272,99.99999999999999
