Intent,Count,Percentage,Cumulative Percentage
get,324,15.126050420168067,15.126050420168067
respondto,251,11.718020541549953,26.844070961718018
na,245,11.437908496732026,38.281979458450046
playwith,196,9.15032679738562,47.43230625583567
find,194,9.056956115779645,56.48926237161531
help,189,8.823529411764707,65.31279178338002
open,181,8.450046685340803,73.76283846872083
observe,163,7.609710550887021,81.37254901960785
requesthelp,111,5.182072829131653,86.5546218487395
inform,91,4.248366013071895,90.8029878618114
give,72,3.361344537815126,94.16433239962653
putonto,45,2.100840336134454,96.26517273576098
putinto,36,1.680672268907563,97.94584500466854
greet,17,0.7936507936507936,98.73949579831934
harm,11,0.5135387488328664,99.25303454715221
eat,6,0.2801120448179272,99.53314659197014
wait,4,0.18674136321195145,99.71988795518209
perform,2,0.09337068160597572,99.81325863678806
moveto,1,0.04668534080298786,99.85994397759106
putdown,1,0.04668534080298786,99.90662931839405
actionperform,1,0.04668534080298786,99.95331465919705
unlock,1,0.04668534080298786,100.00000000000004
