Intent,Count,Percentage,Cumulative Percentage
get,176,29.780033840947546,29.780033840947546
playwith,131,22.165820642978005,51.94585448392555
help,60,10.152284263959391,62.098138747884946
requesthelp,40,6.768189509306261,68.86632825719121
respondto,37,6.260575296108291,75.1269035532995
open,28,4.737732656514383,79.86463620981388
putonto,27,4.568527918781726,84.4331641285956
give,25,4.230118443316413,88.66328257191202
find,18,3.0456852791878175,91.70896785109984
putinto,17,2.8764805414551606,94.58544839255501
inform,10,1.6920473773265652,96.27749576988157
greet,8,1.353637901861252,97.63113367174282
observe,8,1.353637901861252,98.98477157360406
na,5,0.8460236886632826,99.83079526226734
harm,1,0.1692047377326565,100.0
