Intent,Count,Percentage,Cumulative Percentage
get,348,19.627749576988155,19.627749576988155
help,286,16.130851663846588,35.75860124083474
playwith,209,11.787930062041738,47.54653130287648
open,154,8.685843203609702,56.23237450648618
find,149,8.403835307388608,64.63620981387479
respondto,146,8.23463056965595,72.87084038353073
requesthelp,111,6.260575296108291,79.13141567963902
inform,95,5.3581500282007894,84.4895657078398
give,86,4.850535815002821,89.34010152284262
putonto,57,3.2148900169204735,92.5549915397631
putinto,36,2.030456852791878,94.58544839255497
observe,33,1.8612521150592216,96.44670050761418
na,28,1.5792442188381277,98.02594472645231
greet,18,1.015228426395939,99.04117315284824
harm,8,0.4512126339537508,99.49238578680199
eat,6,0.338409475465313,99.8307952622673
show,1,0.05640157924421885,99.88719684151152
actioneat,1,0.05640157924421885,99.94359842075575
moveto,1,0.05640157924421885,99.99999999999997
