Intent,Count,Percentage,Cumulative Percentage
get,174,24.403927068723704,24.403927068723704
playwith,95,13.32398316970547,37.727910238429175
open,76,10.659186535764375,48.38709677419355
na,72,10.098176718092567,58.48527349228612
requesthelp,72,10.098176718092567,68.58345021037869
help,61,8.55539971949509,77.13884992987377
putonto,37,5.189340813464235,82.32819074333801
greet,37,5.189340813464235,87.51753155680225
putinto,25,3.506311360448808,91.02384291725106
give,22,3.0855539971949506,94.10939691444601
inform,16,2.244039270687237,96.35343618513325
respondto,9,1.262272089761571,97.61570827489481
harm,7,0.9817671809256662,98.59747545582049
find,6,0.8415147265077139,99.4389901823282
observe,4,0.5610098176718092,100.0
