Intent,Count,Percentage,Cumulative Percentage
get,186,31.52542372881356,31.52542372881356
help,81,13.728813559322035,45.2542372881356
playwith,66,11.186440677966102,56.4406779661017
requesthelp,63,10.677966101694915,67.11864406779662
putonto,39,6.610169491525424,73.72881355932205
open,35,5.932203389830509,79.66101694915255
putinto,28,4.745762711864407,84.40677966101696
greet,22,3.728813559322034,88.13559322033899
give,21,3.5593220338983054,91.6949152542373
inform,20,3.389830508474576,95.08474576271188
harm,11,1.864406779661017,96.94915254237289
respondto,8,1.3559322033898304,98.30508474576271
na,6,1.0169491525423728,99.32203389830508
find,3,0.5084745762711864,99.83050847457626
observe,1,0.1694915254237288,99.99999999999999
