Intent,Count,Percentage,Cumulative Percentage
get,401,22.953634802518604,22.953634802518604
help,283,16.199198626216372,39.15283342873498
inform,171,9.788208357183743,48.94104178591872
requesthelp,143,8.185460789925587,57.126502575844306
open,141,8.070978820835718,65.19748139668002
playwith,134,7.67029192902118,72.8677733257012
putinto,119,6.811677160847167,79.67945048654836
putonto,92,5.266170578133944,84.9456210646823
give,87,4.979965655409273,89.92558672009157
na,41,2.346880366342301,92.27246708643388
greet,37,2.117916428162564,94.39038351459644
respondto,35,2.003434459072696,96.39381797366913
harm,29,1.6599885518030912,98.05380652547223
find,12,0.6868918145392101,98.74069834001143
observe,12,0.6868918145392101,99.42759015455064
play,9,0.5151688609044075,99.94275901545505
unlock,1,0.05724098454493417,99.99999999999999
