Intent,Count,Percentage,Cumulative Percentage
playwith,128,18.13031161473088,18.13031161473088
get,94,13.314447592067987,31.444759206798864
na,92,13.031161473087819,44.475920679886684
requesthelp,61,8.640226628895183,53.11614730878187
help,57,8.073654390934843,61.18980169971671
observe,51,7.223796033994335,68.41359773371104
greet,48,6.79886685552408,75.21246458923513
respondto,35,4.957507082152975,80.1699716713881
find,33,4.674220963172805,84.8441926345609
open,32,4.53257790368272,89.37677053824362
give,26,3.6827195467422094,93.05949008498582
putonto,20,2.8328611898017,95.89235127478753
putinto,16,2.26628895184136,98.15864022662889
inform,10,1.41643059490085,99.57507082152974
harm,3,0.424929178470255,99.99999999999999
