Intent,Count,Percentage,Cumulative Percentage
get,290,13.737565135007104,13.737565135007104
observe,275,13.027001421127427,26.764566556134533
na,188,8.905731880625297,35.67029843675983
requesthelp,179,8.47939365229749,44.14969208905732
playwith,177,8.3846518237802,52.534343912837514
find,174,8.242539081004264,60.77688299384178
respondto,168,7.958313595452392,68.73519658929418
help,151,7.153008053055424,75.8882046423496
inform,122,5.779251539554713,81.66745618190431
open,121,5.731880625296068,87.39933680720038
give,78,3.694931312174325,91.0942681193747
greet,71,3.3633349123638085,94.45760303173851
putonto,52,2.46328754144955,96.92089057318806
putinto,39,1.8474656560871625,98.76835622927523
harm,25,1.1842728564661298,99.95262908574135
respondtogreet,1,0.047370914258645196,100.0
