Intent,Count,Percentage,Cumulative Percentage
playwith,140,23.850085178875638,23.850085178875638
get,112,19.08006814310051,42.93015332197615
requesthelp,83,14.139693356047701,57.06984667802385
help,75,12.776831345826235,69.84667802385009
give,41,6.984667802385008,76.8313458262351
greet,22,3.747870528109029,80.57921635434413
putonto,19,3.2367972742759794,83.81601362862011
respondto,18,3.0664395229982966,86.8824531516184
find,16,2.72572402044293,89.60817717206133
open,16,2.72572402044293,92.33390119250426
putinto,15,2.555366269165247,94.8892674616695
harm,9,1.5332197614991483,96.42248722316866
observe,9,1.5332197614991483,97.95570698466781
inform,9,1.5332197614991483,99.48892674616697
na,3,0.5110732538330494,100.00000000000001
