Intent,Count,Percentage,Cumulative Percentage
get,298,16.93181818181818,16.93181818181818
requesthelp,223,12.670454545454547,29.602272727272727
playwith,206,11.704545454545455,41.30681818181818
help,184,10.454545454545453,51.76136363636363
inform,131,7.443181818181818,59.20454545454545
find,124,7.045454545454545,66.25
open,117,6.647727272727273,72.89772727272728
give,108,6.136363636363637,79.03409090909092
observe,96,5.454545454545454,84.48863636363637
respondto,78,4.431818181818182,88.92045454545456
greet,55,3.125,92.04545454545456
putonto,54,3.0681818181818183,95.11363636363637
putinto,40,2.272727272727273,97.38636363636364
harm,24,1.3636363636363635,98.75
na,22,1.25,100.0
