Intent,Count,Percentage,Cumulative Percentage
na,118,16.59634317862166,16.59634317862166
requesthelp,79,11.11111111111111,27.70745428973277
get,78,10.970464135021098,38.67791842475387
help,75,10.548523206751055,49.226441631504926
greet,71,9.985935302390999,59.212376933895925
putonto,53,7.454289732770746,66.66666666666667
playwith,47,6.610407876230662,73.27707454289734
open,39,5.485232067510549,78.76230661040789
give,39,5.485232067510549,84.24753867791844
respondto,34,4.781997187060478,89.02953586497893
observe,20,2.8129395218002813,91.8424753867792
putinto,20,2.8129395218002813,94.65541490857947
play,16,2.250351617440225,96.9057665260197
wait,4,0.5625879043600562,97.46835443037976
intent,2,0.2812939521800281,97.74964838255978
grab,2,0.2812939521800281,98.0309423347398
unlock,2,0.2812939521800281,98.31223628691983
none,2,0.2812939521800281,98.59353023909985
find,1,0.14064697609001406,98.73417721518986
actionmoveto,1,0.14064697609001406,98.87482419127987
inform,1,0.14064697609001406,99.01547116736988
follow,1,0.14064697609001406,99.15611814345989
moveto,1,0.14064697609001406,99.2967651195499
prepare,1,0.14064697609001406,99.43741209563991
interact,1,0.14064697609001406,99.57805907172992
harm,1,0.14064697609001406,99.71870604781994
actionputonto,1,0.14064697609001406,99.85935302390995
into,1,0.14064697609001406,99.99999999999996
