Intent,Count,Percentage,Cumulative Percentage
na,342,16.048803378695446,16.048803378695446
help,270,12.670107930549038,28.718911309244483
get,253,11.872360394181136,40.59127170342562
requesthelp,251,11.778507742843736,52.369779446269355
greet,196,9.197559831065227,61.56733927733458
give,144,6.7573908962928195,68.3247301736274
putonto,142,6.66353824495542,74.98826841858282
respondto,104,4.880337869544815,79.86860628812764
open,87,4.0825903331769124,83.95119662130455
playwith,85,3.988737681839512,87.93993430314406
observe,77,3.6133270764899112,91.55326137963397
putinto,52,2.4401689347724074,93.99343031440637
play,21,0.9854528390427029,94.97888315344908
harm,16,0.7508212106992023,95.72970436414828
inform,12,0.5631159080244017,96.29282027217268
intent,7,0.328484279680901,96.62130455185358
moveto,7,0.328484279680901,96.94978883153449
grab,7,0.328484279680901,97.2782731112154
unlock,6,0.28155795401220085,97.5598310652276
none,6,0.28155795401220085,97.8413890192398
wait,6,0.28155795401220085,98.122946973252
find,4,0.18770530267480057,98.3106522759268
take,4,0.18770530267480057,98.4983575786016
actionmoveto,4,0.18770530267480057,98.6860628812764
communicate,3,0.14077897700610043,98.8268418582825
pointto,2,0.09385265133740028,98.9206945096199
unknown,2,0.09385265133740028,99.0145471609573
actionputonto,2,0.09385265133740028,99.1083998122947
interact,1,0.04692632566870014,99.15532613796341
lock,1,0.04692632566870014,99.20225246363212
prevent,1,0.04692632566870014,99.24917878930083
obtain,1,0.04692632566870014,99.29610511496954
use,1,0.04692632566870014,99.34303144063824
do,1,0.04692632566870014,99.38995776630695
requestaction,1,0.04692632566870014,99.43688409197566
request,1,0.04692632566870014,99.48381041764436
leave,1,0.04692632566870014,99.53073674331307
close,1,0.04692632566870014,99.57766306898178
actionrotateto,1,0.04692632566870014,99.62458939465049
follow,1,0.04692632566870014,99.67151572031919
move,1,0.04692632566870014,99.7184420459879
prepare,1,0.04692632566870014,99.7653683716566
requestinformation,1,0.04692632566870014,99.81229469732531
changesituation,1,0.04692632566870014,99.85922102299402
pickup,1,0.04692632566870014,99.90614734866273
into,1,0.04692632566870014,99.95307367433143
inspect,1,0.04692632566870014,100.00000000000014
