Intent,Count,Percentage,Cumulative Percentage
putonto,166,28.183361629881155,28.183361629881155
help,98,16.6383701188455,44.821731748726656
get,73,12.39388794567063,57.21561969439728
putinto,53,8.998302207130731,66.21392190152801
greet,36,6.112054329371817,72.32597623089983
playwith,36,6.112054329371817,78.43803056027164
give,26,4.4142614601018675,82.85229202037351
requesthelp,22,3.7351443123938877,86.5874363327674
play,21,3.5653650254668934,90.15280135823429
respondto,20,3.395585738539898,93.54838709677418
open,12,2.037351443123939,95.58573853989812
inform,6,1.0186757215619695,96.6044142614601
observe,5,0.8488964346349746,97.45331069609507
na,4,0.6791171477079796,98.13242784380306
grab,3,0.5093378607809848,98.64176570458405
harm,2,0.3395585738539898,98.98132427843804
communicate,1,0.1697792869269949,99.15110356536503
intent,1,0.1697792869269949,99.32088285229203
unlock,1,0.1697792869269949,99.49066213921903
actionopen,1,0.1697792869269949,99.66044142614602
pointto,1,0.1697792869269949,99.83022071307302
actionputinto,1,0.1697792869269949,100.00000000000001
