Intent,Count,Percentage,Cumulative Percentage
help,344,19.479048697621746,19.479048697621746
putonto,290,16.421291053227634,35.90033975084938
get,239,13.533408833522085,49.43374858437147
give,204,11.551528878822197,60.98527746319367
greet,127,7.191392978482446,68.17667044167611
putinto,102,5.775764439411098,73.95243488108721
playwith,78,4.416761041902604,78.36919592298982
requesthelp,77,4.360135900339751,82.72933182332957
respondto,66,3.737259343148358,86.46659116647793
observe,50,2.8312570781426953,89.29784824462062
open,47,2.6613816534541335,91.95922989807475
inform,38,2.1517553793884483,94.1109852774632
play,25,1.4156285390713477,95.52661381653455
harm,16,0.9060022650056626,96.43261608154022
na,16,0.9060022650056626,97.33861834654589
grab,8,0.4530011325028313,97.79161947904872
pointto,4,0.22650056625141565,98.01812004530014
actionputinto,3,0.16987542468856173,98.18799546998869
unlock,3,0.16987542468856173,98.35787089467725
communicate,3,0.16987542468856173,98.5277463193658
intent,3,0.16987542468856173,98.69762174405436
moveto,3,0.16987542468856173,98.86749716874291
actionmoveto,2,0.11325028312570783,98.98074745186862
actionputonto,2,0.11325028312570783,99.09399773499433
put,2,0.11325028312570783,99.20724801812004
giveto,2,0.11325028312570783,99.32049830124575
actionopen,2,0.11325028312570783,99.43374858437146
movetowardskeyandbox,1,0.05662514156285391,99.4903737259343
actionplay,1,0.05662514156285391,99.54699886749715
actiongrab,1,0.05662514156285391,99.60362400906
access,1,0.05662514156285391,99.66024915062285
move,1,0.05662514156285391,99.7168742921857
wait,1,0.05662514156285391,99.77349943374854
interact,1,0.05662514156285391,99.83012457531139
followpointing,1,0.05662514156285391,99.88674971687423
requests,1,0.05662514156285391,99.94337485843708
respond,1,0.05662514156285391,99.99999999999993
