Intent,Count,Percentage,Cumulative Percentage
get,150,21.83406113537118,21.83406113537118
na,121,17.612809315866084,39.44687045123726
playwith,113,16.448326055312958,55.89519650655022
open,81,11.790393013100436,67.68558951965066
greet,67,9.75254730713246,77.43813682678312
putonto,37,5.385735080058224,82.82387190684135
give,33,4.8034934497816595,87.627365356623
requesthelp,24,3.4934497816593884,91.1208151382824
observe,15,2.1834061135371177,93.30422125181951
inform,12,1.7467248908296942,95.05094614264921
putinto,12,1.7467248908296942,96.7976710334789
respondto,12,1.7467248908296942,98.5443959243086
harm,4,0.5822416302765648,99.12663755458517
help,3,0.43668122270742354,99.5633187772926
find,2,0.2911208151382824,99.85443959243088
unlock,1,0.1455604075691412,100.00000000000001
