Intent,Count,Percentage,Cumulative Percentage
get,388,19.45837512537613,19.45837512537613
na,243,12.18655967903711,31.64493480441324
observe,199,9.979939819458375,41.62487462387161
open,195,9.779338014042125,51.40421263791374
inform,163,8.174523570712136,59.57873620862587
playwith,162,8.124373119358076,67.70310932798395
greet,159,7.973921765295888,75.67703109327984
help,103,5.1654964894684054,80.84252758274825
requesthelp,92,4.613841524573721,85.45636910732196
give,75,3.7612838515546643,89.21765295887663
putonto,64,3.20962888665998,92.42728184553661
respondto,50,2.507522567703109,94.93480441323972
harm,21,1.053159478435306,95.98796389167502
find,20,1.0030090270812437,96.99097291875627
putinto,19,0.9528585757271816,97.94383149448345
wait,18,0.9027081243731194,98.84653961885657
unlock,12,0.6018054162487462,99.44834503510532
grab,3,0.15045135406218654,99.5987963891675
actionpointto,1,0.05015045135406219,99.64894684052156
with,1,0.05015045135406219,99.69909729187562
objectplacement,1,0.05015045135406219,99.74924774322967
play,1,0.05015045135406219,99.79939819458373
actionmoveto,1,0.05015045135406219,99.84954864593779
actionwait,1,0.05015045135406219,99.89969909729184
moveto,1,0.05015045135406219,99.9498495486459
other,1,0.05015045135406219,99.99999999999996
