Intent,Count,Percentage,Cumulative Percentage
get,263,44.57627118644068,44.57627118644068
playwith,67,11.35593220338983,55.932203389830505
open,59,10.0,65.9322033898305
greet,50,8.47457627118644,74.40677966101694
putonto,45,7.627118644067797,82.03389830508473
give,42,7.118644067796611,89.15254237288134
putinto,13,2.2033898305084745,91.35593220338981
na,10,1.694915254237288,93.0508474576271
requesthelp,9,1.5254237288135595,94.57627118644066
observe,8,1.3559322033898304,95.93220338983049
respondto,8,1.3559322033898304,97.28813559322032
inform,6,1.0169491525423728,98.30508474576268
help,6,1.0169491525423728,99.32203389830505
harm,4,0.6779661016949152,99.99999999999997
