Intent,Count,Percentage,Cumulative Percentage
get,498,28.135593220338983,28.135593220338983
open,209,11.807909604519775,39.943502824858754
help,177,10.0,49.943502824858754
playwith,135,7.627118644067797,57.570621468926554
give,123,6.9491525423728815,64.51977401129943
greet,120,6.779661016949152,71.29943502824858
inform,104,5.875706214689266,77.17514124293784
putonto,99,5.593220338983051,82.76836158192089
na,69,3.898305084745763,86.66666666666664
observe,64,3.615819209039548,90.28248587570619
respondto,57,3.2203389830508473,93.50282485875704
requesthelp,52,2.937853107344633,96.44067796610167
putinto,21,1.1864406779661016,97.62711864406778
harm,11,0.6214689265536724,98.24858757062145
unlock,8,0.4519774011299435,98.70056497175139
find,7,0.39548022598870053,99.0960451977401
grab,5,0.2824858757062147,99.37853107344631
actionwait,3,0.1694915254237288,99.54802259887003
wait,2,0.11299435028248588,99.66101694915253
eat,1,0.05649717514124294,99.71751412429377
actionmoveto,1,0.05649717514124294,99.77401129943502
actionperform,1,0.05649717514124294,99.83050847457626
moveto,1,0.05649717514124294,99.88700564971751
nothing,1,0.05649717514124294,99.94350282485875
actionunlock,1,0.05649717514124294,100.0
