Intent,Count,Percentage,Cumulative Percentage
find,73,10.68814055636896,10.68814055636896
putinto,70,10.248901903367496,20.937042459736457
give,66,9.66325036603221,30.60029282576867
open,66,9.66325036603221,40.26354319180088
observe,64,9.370424597364568,49.633967789165446
greet,62,9.077598828696926,58.711566617862374
playwith,59,8.638360175695462,67.34992679355784
get,57,8.345534407027818,75.69546120058565
putonto,55,8.052708638360176,83.74816983894583
respondto,55,8.052708638360176,91.800878477306
inform,54,7.906295754026354,99.70717423133236
landmark,2,0.29282576866764276,100.0
