Intent,Count,Percentage,Cumulative Percentage
observe,201,9.762020398251577,9.762020398251577
open,197,9.567751335599805,19.32977173385138
find,196,9.519184069936863,28.848955803788243
give,196,9.519184069936863,38.368139873725106
putinto,193,9.373482272948033,47.74162214667314
putonto,191,9.276347741622146,57.01796988829528
playwith,189,9.179213210296261,66.19718309859155
respondto,178,8.644973288003884,74.84215638659543
get,176,8.547838756677999,83.38999514327344
greet,171,8.305002428363283,91.69499757163672
inform,168,8.159300631374453,99.85429820301117
landmark,3,0.1457017969888295,100.0
