Intent,Count,Percentage,Cumulative Percentage
playwith,63,10.65989847715736,10.65989847715736
respondto,61,10.321489001692047,20.981387478849406
observe,60,10.152284263959391,31.133671742808797
putinto,59,9.983079526226735,41.11675126903553
putonto,57,9.644670050761421,50.76142131979695
greet,52,8.79864636209814,59.56006768189509
inform,51,8.629441624365482,68.18950930626058
get,51,8.629441624365482,76.81895093062606
give,47,7.952622673434856,84.77157360406092
open,45,7.614213197969544,92.38578680203047
find,45,7.614213197969544,100.00000000000001
