Intent,Count,Percentage,Cumulative Percentage
observe,182,10.265087422447829,10.265087422447829
playwith,174,9.813874788494077,20.078962210941906
find,167,9.419063733784546,29.49802594472645
putinto,165,9.30626057529611,38.80428652002256
inform,163,9.193457416807671,47.99774393683023
putonto,158,8.911449520586578,56.90919345741681
respondto,155,8.74224478285392,65.65143824027074
give,154,8.685843203609702,74.33728144388044
get,154,8.685843203609702,83.02312464749015
greet,151,8.516638465877044,91.5397631133672
open,150,8.460236886632826,100.00000000000003
