Intent,Count,Percentage,Cumulative Percentage
playwith,153,21.428571428571427,21.428571428571427
get,152,21.288515406162464,42.71708683473389
requesthelp,70,9.803921568627452,52.52100840336134
help,53,7.42296918767507,59.943977591036415
na,45,6.302521008403361,66.24649859943978
find,45,6.302521008403361,72.54901960784314
observe,36,5.042016806722689,77.59103641456582
open,34,4.761904761904762,82.35294117647058
greet,32,4.481792717086835,86.83473389355741
putonto,26,3.6414565826330536,90.47619047619047
respondto,25,3.5014005602240896,93.97759103641455
give,25,3.5014005602240896,97.47899159663864
putinto,15,2.100840336134454,99.57983193277309
inform,2,0.2801120448179272,99.85994397759102
harm,1,0.1400560224089636,99.99999999999999
