Intent,Count,Percentage,Cumulative Percentage
observe,287,13.411214953271028,13.411214953271028
get,283,13.224299065420562,26.635514018691588
help,268,12.52336448598131,39.1588785046729
playwith,219,10.233644859813085,49.39252336448598
requesthelp,200,9.345794392523365,58.73831775700935
na,180,8.411214953271028,67.14953271028037
find,157,7.336448598130842,74.48598130841121
open,114,5.327102803738318,79.81308411214953
greet,95,4.439252336448598,84.25233644859813
give,91,4.252336448598131,88.50467289719626
respondto,86,4.018691588785047,92.5233644859813
putonto,54,2.5233644859813085,95.04672897196261
inform,51,2.383177570093458,97.42990654205606
putinto,42,1.9626168224299065,99.39252336448597
harm,5,0.23364485981308408,99.62616822429905
something,2,0.09345794392523366,99.71962616822428
actionmoveto,1,0.04672897196261683,99.7663551401869
followpointing,1,0.04672897196261683,99.81308411214953
use,1,0.04672897196261683,99.85981308411215
eat,1,0.04672897196261683,99.90654205607477
prepareforinteraction,1,0.04672897196261683,99.95327102803739
pointto,1,0.04672897196261683,100.00000000000001
