Intent,Count,Percentage,Cumulative Percentage
get,155,26.22673434856176,26.22673434856176
playwith,93,15.736040609137056,41.96277495769881
help,83,14.04399323181049,56.0067681895093
requesthelp,48,8.121827411167512,64.12859560067682
find,37,6.260575296108291,70.3891708967851
putonto,32,5.414551607445008,75.80372250423011
open,30,5.0761421319796955,80.8798646362098
respondto,29,4.906937394247039,85.78680203045684
give,27,4.568527918781726,90.35532994923857
putinto,19,3.2148900169204735,93.57021996615904
greet,12,2.030456852791878,95.60067681895092
observe,6,1.015228426395939,96.61590524534685
unlock,5,0.8460236886632826,97.46192893401013
inform,5,0.8460236886632826,98.30795262267341
na,5,0.8460236886632826,99.15397631133669
harm,2,0.338409475465313,99.492385786802
perform,2,0.338409475465313,99.83079526226732
actionwait,1,0.1692047377326565,99.99999999999997
