Intent,Count,Percentage,Cumulative Percentage
get,300,16.93002257336343,16.93002257336343
help,253,14.277652370203162,31.207674943566595
playwith,174,9.81941309255079,41.027088036117384
requesthelp,160,9.029345372460497,50.05643340857788
open,130,7.336343115124154,57.39277652370203
find,125,7.054176072234764,64.44695259593679
observe,108,6.094808126410835,70.54176072234763
respondto,91,5.135440180586907,75.67720090293454
inform,90,5.07900677200903,80.75620767494357
give,83,4.683972911963882,85.44018058690745
greet,70,3.9503386004514676,89.39051918735892
na,65,3.668171557562077,93.058690744921
putonto,61,3.4424379232505644,96.50112866817156
putinto,34,1.9187358916478554,98.41986455981942
unlock,11,0.6207674943566591,99.04063205417607
harm,6,0.33860045146726864,99.37923250564334
perform,3,0.16930022573363432,99.54853273137698
hello,2,0.1128668171557562,99.66139954853274
actionwait,1,0.0564334085778781,99.71783295711062
thankyou,1,0.0564334085778781,99.77426636568849
grab,1,0.0564334085778781,99.83069977426636
organize,1,0.0564334085778781,99.88713318284424
explore,1,0.0564334085778781,99.94356659142211
retrieve,1,0.0564334085778781,99.99999999999999
