model,exp_name,test_version,top_1_acc,top_1_success_cf,top_1_fail_cf,top_3_acc,top_3_success_cf,object_top_1_acc,object_top_1_success_cf,object_top_1_fail_cf,object_top_3_acc,object_top_3_success_cf,total_top_1_acc,total_top_1_success_cf,total_top_1_fail_cf,total_top_3_acc,total_top_3_success_cf
Qwen3-8B,intent_pred_world_view,V1,0.146,0.908,0.884,0.289,0.729,0.477,0.897,0.88,0.548,0.86,0.096,0.921,0.884,0.166,0.74
Llama3,intent_pred_world_view,V1,0.086,0.673,0.674,0.215,0.4,0.426,0.688,0.663,0.489,0.628,0.03,0.681,0.673,0.052,0.461
gpt-4o,intent_pred_world_view,V1,0.196,0.873,0.855,0.355,0.721,0.53,0.867,0.849,0.602,0.837,0.122,0.887,0.855,0.208,0.726
Gemini,intent_pred_world_view,V1,0.197,0.859,0.839,0.363,0.758,0.569,0.852,0.831,0.644,0.829,0.137,0.872,0.838,0.251,0.767
Claude,intent_pred_world_view,V1,0.193,0.699,0.647,0.399,0.429,0.565,0.678,0.629,0.657,0.615,0.154,0.718,0.646,0.264,0.497
DeepSeek-R1,intent_pred_world_view,V1,0.174,0.783,0.713,0.354,0.574,0.569,0.741,0.704,0.658,0.695,0.122,0.815,0.712,0.222,0.606
Random,intent_pred_world_view,V1,0.051,0.9,0.9,0.139,0.515,0.367,0.9,0.9,0.455,0.777,0.007,0.9,0.9,0.015,0.544
Qwen3-8B,intent_pred_agent_view,V1,0.21,0.921,0.861,0.366,0.752,0.59,0.879,0.867,0.606,0.873,0.151,0.935,0.863,0.237,0.772
Llama3,intent_pred_agent_view,V1,0.154,0.826,0.697,0.266,0.562,0.567,0.709,0.729,0.576,0.702,0.102,0.896,0.697,0.154,0.665
gpt-4o,intent_pred_agent_view,V1,0.151,0.822,0.804,0.374,0.59,0.592,0.8,0.816,0.611,0.791,0.074,0.803,0.807,0.199,0.508
Gemini,intent_pred_agent_view,V1,0.218,0.748,0.801,0.396,0.651,0.592,0.779,0.803,0.609,0.777,0.123,0.677,0.805,0.228,0.573
Claude,intent_pred_agent_view,V1,0.242,0.629,0.613,0.443,0.441,0.598,0.617,0.617,0.622,0.602,0.157,0.612,0.618,0.276,0.445
DeepSeek-R1,intent_pred_agent_view,V1,0.179,0.697,0.647,0.387,0.484,0.598,0.655,0.657,0.62,0.645,0.106,0.703,0.65,0.217,0.471
Random,intent_pred_agent_view,V1,0.036,0.9,0.9,0.098,0.523,0.566,0.9,0.9,0.583,0.884,0.001,0.9,0.9,0.007,0.42
Qwen3-8B,intent_update_agent_view,V1,0.361,0.853,0.847,0.624,0.735,0.476,0.848,0.851,0.678,0.776,0.283,0.85,0.849,0.494,0.731
Llama3,intent_update_agent_view,V1,0.328,0.662,0.591,0.567,0.485,0.512,0.638,0.59,0.683,0.535,0.249,0.678,0.594,0.456,0.48
gpt-4o,intent_update_agent_view,V1,0.419,0.847,0.813,0.664,0.727,0.55,0.836,0.818,0.713,0.768,0.319,0.848,0.818,0.528,0.717
Gemini,intent_update_agent_view,V1,0.328,0.825,0.772,0.618,0.683,0.465,0.805,0.776,0.684,0.717,0.223,0.833,0.777,0.469,0.668
Claude,intent_update_agent_view,V1,0.423,0.694,0.63,0.71,0.495,0.538,0.674,0.637,0.737,0.549,0.324,0.701,0.636,0.559,0.49
DeepSeek-R1,intent_update_agent_view,V1,0.4,0.673,0.569,0.66,0.504,0.528,0.642,0.575,0.717,0.538,0.302,0.687,0.577,0.528,0.495
Random,intent_update_agent_view,V1,0.065,0.9,0.9,0.178,0.519,0.194,0.9,0.9,0.296,0.711,0.011,0.9,0.9,0.031,0.491
Qwen3-8B,action_update_agent_view,V1,0.21,0.877,0.868,0.505,0.737,0.417,0.877,0.865,0.537,0.831,0.111,0.891,0.868,0.247,0.753
Llama3,action_update_agent_view,V1,0.185,0.631,0.638,0.431,0.427,0.421,0.66,0.619,0.556,0.57,0.079,0.643,0.636,0.186,0.437
gpt-4o,action_update_agent_view,V1,0.213,0.864,0.854,0.452,0.716,0.448,0.862,0.851,0.577,0.801,0.115,0.878,0.853,0.24,0.71
Gemini,action_update_agent_view,V1,0.256,0.844,0.828,0.502,0.693,0.428,0.84,0.826,0.554,0.779,0.131,0.853,0.829,0.26,0.676
Claude,action_update_agent_view,V1,0.277,0.647,0.626,0.574,0.411,0.433,0.657,0.613,0.55,0.564,0.146,0.678,0.624,0.286,0.437
DeepSeek-R1,action_update_agent_view,V1,0.237,0.705,0.682,0.541,0.433,0.446,0.718,0.663,0.548,0.63,0.133,0.738,0.679,0.273,0.457
Random,action_update_agent_view,V1,0.036,0.9,0.9,0.124,0.469,0.316,0.9,0.9,0.536,0.671,0.012,0.9,0.9,0.041,0.457
