tested_ids,most_possible_action,most_possible_action_cf,second_possible_action,second_possible_action_cf,third_possible_action,third_possible_action_cf,ground_truth_action
0,ActionPlay-key_5-agent_1,0.9,ActionShakeHead-agent_1,0.5,ActionPlay-key_5-agent_1,0.1,agent_2-actionmoveto-agent_1
1,ActionMoveToAttention-agent_1,0.9,ActionUnlock-box_6-key_5,0.5,ActionNodHead-agent_1,0.1,agent_2-actionmoveto-key_5
2,ActionGrab-dumbbell_3,0.9,ActionObserveAgent-agent_1,0.5,ActionNodHead-agent_1,0.1,agent_2-actiongrab-key_5
3,ActionPutDown-box_4,0.9,ActionPlay-dumbbell_3-agent_1,0.5,ActionPutOnto-key_5-dumbbell_3,0.1,agent_2-actionmoveto-agent_1
4,ActionWaveHand-agent_1,0.9,ActionWaveHand-agent_1,0.5,ActionMoveToAttention-agent_1,0.1,agent_2-actionmoveto-agent_1
5,ActionFollowPointing-agent_1,0.9,ActionPutOnto-box_6-box_4,0.5,ActionWaveHand-agent_1,0.1,agent_2-actionmoveto-box_4
6,ActionClose-key_5,0.9,ActionMoveTo-key_5,0.5,ActionClose-box_4,0.1,agent_2-actionmoveto-box_4
7,ActionEat-box_5,0.9,ActionFollowPointing,0.5,ActionUnlock-box_4-box_4,0.1,agent_2-actionmoveto-box_4
8,ActionGrab-key_3,0.9,ActionPutOnto-key_3-box_4,0.5,ActionPlay-box_5,0.1,agent_2-actionopen-box_4
9,ActionMoveToAttention-agent_1,0.9,ActionPlay-box_4-agent_1,0.5,ActionMoveToAttention-agent_1,0.1,agent_2-actiongrab-key_3
10,ActionObserveAgent-agent_1,0.9,ActionSmash-box_4,0.5,ActionNodHead-agent_1,0.1,agent_2-actionclose-box_4
11,ActionGiveTo-box_5-agent_1,0.9,ActionMoveToAttention-agent_1,0.5,ActionPlay-key_3-agent_1,0.1,agent_2-actionmoveto-box_6
12,ActionPointTo-box_4,0.9,ActionRotateTo-key_3,0.5,ActionPlay-key_3-agent_1,0.1,agent_2-actionmoveto-agent_1
13,ActionUnlock-box_4-box_4,0.9,ActionGrab-box_5,0.5,ActionWaveHand-agent_1,0.1,agent_2-actionwait
14,ActionOpen-chess_7,0.9,ActionPlay-cup_6,0.5,ActionMoveToAttention,0.1,agent_1-actionspeak-hello!
15,ActionNodHead,0.9,ActionPutOnto-dumbbell_8-chess_7,0.5,ActionPointTo-box_5,0.1,agent_1-actionpointto-cup_6
16,ActionRotateTo-agent_2,0.9,ActionPutDown-chess_7,0.5,ActionPutInto-dumbbell_8-cup_6,0.1,agent_1-actionmoveto-cup_6
17,ActionClose-box_5,0.9,ActionPutDown-cup_6,0.5,ActionMoveTo-chess_7,0.1,agent_1-actionopen-shelf_4
18,ActionObserveAgent-agent_2,0.9,ActionUnlock-chess_7-key_3,0.5,ActionWait,0.1,agent_1-actiongrab-cup_6
19,ActionUnlock-box_4-box_4,0.9,ActionMoveToAttention-agent_2,0.5,ActionRotateTo-box_4,0.1,agent_1-actionpointto-key_5
20,ActionPutOnto-box_6-key_5,0.9,ActionObserveAgent-agent_2,0.5,ActionRotateTo-agent_2,0.1,agent_1-actionmoveto-key_5
21,ActionPutOnto-box_4-box_4,0.9,ActionPutOnto-box_4-dumbbell_3,0.5,ActionUnlock-dumbbell_3-box_6,0.1,agent_1-actionpointto-box_4
22,ActionPlay-key_5-agent_2,0.9,ActionSmash-box_6,0.5,ActionSmash-dumbbell_3,0.1,agent_1-actionrotateto-box_4
23,ActionWait,0.9,ActionWait,0.5,ActionPointTo-box_4,0.1,agent_1-actionspeak-hello!
24,ActionFollowPointing-agent_2,0.9,ActionObserveAgent-agent_2,0.5,ActionNodHead-agent_2,0.1,agent_1-actionnodhead
25,ActionOpen-box_4,0.9,ActionWait,0.5,ActionGiveTo-box_4-agent_2,0.1,agent_1-actionnodhead
26,ActionGiveTo-box_6,0.9,ActionShakeHead,0.5,ActionPutOnto-box_6-box_6,0.1,agent_1-actionmoveto-box_6
27,ActionPlay-box_6,0.9,ActionObserveAgent,0.5,ActionEat-box_5,0.1,agent_1-actionopen-box_6
28,ActionWaveHand,0.9,ActionWaveHand,0.5,ActionPutDown-box_5,0.1,"agent_1-actionmoveto-[238.0, 504.0]"
29,ActionRotateTo-box_5,0.9,ActionOpen-box_5,0.5,ActionClose-box_5,0.1,agent_1-actionopen-box_5
30,ActionWait,0.9,ActionClose-box_5,0.5,ActionClose-box_6,0.1,"agent_1-actionrotateto-[238.0, -224.0]"
31,ActionMoveToAttention,0.9,ActionObserveAgent,0.5,ActionClose-box_5,0.1,"agent_1-actionmoveto-[196.0, -420.0]"
32,ActionRotateTo-box_5,0.9,ActionRotateTo-box_5,0.5,ActionPutDown-box_5,0.1,"agent_1-actionmoveto-[-560.0, -476.0]"
33,ActionSmash-box_5,0.9,ActionNodHead,0.5,ActionGrab-dumbbell_3,0.1,agent_2-actionmoveto-key_6
34,ActionMoveTo-dumbbell_3,0.9,ActionPointTo-dumbbell_3,0.5,ActionMoveTo-key_6,0.1,agent_2-actiongrab-key_6
35,ActionPutInto-dumbbell_3-box_5,0.9,ActionRotateTo-dumbbell_3,0.5,ActionPlay-key_6,0.1,agent_2-actionmoveto-box_5
36,ActionPutOnto-dumbbell_3-dumbbell_3,0.9,ActionPutInto-dumbbell_3-key_6,0.5,ActionPutInto-key_6-key_6,0.1,agent_2-actionunlock-box_5
37,ActionPutOnto-dumbbell_3-box_5,0.9,ActionFollowPointing,0.5,ActionPointTo-box_5,0.1,agent_2-actionopen-box_5
38,ActionNodHead,0.9,ActionGiveTo-box_5,0.5,ActionFollowPointing,0.1,agent_2-actiongrab-dumbbell_3
39,ActionClose-key_6,0.9,ActionRotateTo-table_4,0.5,ActionUnlock-dumbbell_3-dumbbell_3,0.1,agent_2-actionmoveto-table_4
40,ActionWait,0.9,ActionWait,0.5,ActionGiveTo-box_3,0.1,"agent_1-actionmoveto-[252.0000000000001, 70.0]"
41,ActionFollowPointing-agent_2,0.9,ActionMoveTo-XY,0.5,ActionPutInto-box_3-box_3,0.1,agent_1-actionpointto-box_3
42,ActionPutInto-box_3-box_3,0.9,ActionPutDown-box_3,0.5,ActionEat-box_3,0.1,agent_1-actionmoveto-box_3
43,ActionWaveHand-agent_2,0.9,ActionObserveAgent-agent_2,0.5,ActionClose-box_3,0.1,agent_1-actionspeak-hello!
44,ActionObserveAgent-agent_2,0.9,ActionUnlock-box_3-key_4,0.5,ActionMoveTo-key_4,0.1,"agent_1-actionmoveto-[-378.0, -476.0]"
45,ActionSmash-box_3,0.9,ActionMoveToAttention-agent_2,0.5,ActionPutInto-box_3-key_4,0.1,agent_1-actionmoveto-agent_2
46,ActionRotateTo-box_3,0.9,ActionEat-key_4,0.5,ActionUnlock-box_3-key_4,0.1,agent_1-actionmoveto-agent_2
47,ActionWait,0.9,ActionMoveTo-key_3,0.5,ActionRotateTo-box_5,0.1,agent_1-actionmoveto-box_5
48,ActionMoveTo-key_3,0.9,ActionPutDown-books_7,0.5,ActionNodHead-agent_2,0.1,agent_1-actionpointto-chess_6
49,ActionPutDown-books_9,0.9,ActionMoveTo-books_9,0.5,ActionWait,0.1,agent_1-actionmovetoattention-agent_2
50,ActionPlay-key_3-agent_2,0.9,ActionPutOnto-books_7-key_3,0.5,ActionPutDown-books_9,0.1,agent_1-actionnodhead
51,ActionPointTo-agent_2,0.9,ActionRotateTo-chess_6,0.5,ActionEat-chess_6,0.1,agent_1-actionspeak-thank you!
52,ActionPutOnto-shelf_4-chess_6,0.9,ActionOpen-shelf_4,0.5,ActionShakeHead-agent_2,0.1,agent_1-actionrotateto-books_7
53,ActionGrab-chess_6,0.9,ActionShakeHead-agent_2,0.5,ActionOpen-books_7,0.1,agent_1-actionspeak-hello!
54,ActionMoveTo-agent_2,0.9,ActionMoveTo-agent_2,0.5,ActionPutDown,0.1,agent_1-actionpointto-agent_2
55,ActionFollowPointing-agent_2,0.9,ActionShakeHead-agent_2,0.5,ActionPutDown,0.1,agent_1-actionspeak-hello!
56,ActionWait,0.9,ActionPutOnto,0.5,ActionNodHead-agent_2,0.1,agent_1-actionshakehead
57,ActionShakeHead-agent_2,0.9,ActionMoveTo-agent_2,0.5,ActionPlay-box_6-agent_2,0.1,agent_1-actionwait
58,ActionWait,0.9,ActionPutOnto-box_4-box_4,0.5,ActionEat-box_4,0.1,"agent_1-actionrotateto-[-518.0, 28.0]"
59,ActionPutDown-box_4,0.9,ActionNodHead-agent_2,0.5,ActionPutDown-box_6,0.1,agent_1-actionpointto-box_6
60,ActionPointTo-box_6,0.9,ActionOpen-box_4,0.5,ActionNodHead-agent_2,0.1,agent_1-actionmoveto-box_4
61,ActionPutOnto,0.9,ActionSmash,0.5,ActionClose,0.1,"agent_2-actionrotateto-[84.00000000000011, -434.0]"
62,ActionClose-chess_3,0.9,ActionPutInto-chess_3-chess_3,0.5,ActionClose-chess_3,0.1,"agent_2-actionrotateto-[672.0, -14.0]"
